2018-09-08T00:00:00,2018-09-08T23:59:59,lost jupiter
2018-09-09T00:00:00,2018-09-09T23:59:59,lost jupiter
2018-09-10T00:00:00,2018-09-10T23:59:59,lost jupiter
2018-09-11T00:00:00,2018-09-11T23:59:59,lost jupiter
2018-09-12T00:00:00,2018-09-12T23:59:59,lost jupiter
#2018-09-13T00:00:00,2018-09-13T23:59:59,move 
2018-09-14T00:00:00,2018-09-14T23:59:59,lost jupiter
2018-09-15T00:00:00,2018-09-15T23:59:59,lost jupiter
2018-09-20T00:00:00,2018-09-20T23:59:59,EUV star
2018-09-21T00:00:00,2018-09-21T23:59:59,EUV star
#2018-09-23T02:17:31,2018-09-23T04:04:11,torus peak detected
#2018-09-23T09:23:07,2018-09-23T11:08:43,torus peak detected
2018-10-20T00:00:00,2018-10-20T23:59:59,lost jupiter
2018-10-21T00:00:00,2018-10-21T23:59:59,lost jupiter
2018-10-22T00:00:00,2018-10-22T23:59:59,lost jupiter
2018-10-23T00:00:00,2018-10-23T23:59:59,lost jupiter
2018-10-24T00:00:00,2018-10-24T23:59:59,lost jupiter
2018-10-25T00:00:00,2018-10-25T09:06:42,lost jupiter
2018-12-30T00:00:00,2018-12-30T23:59:59,nodata
